addax, ad, ax
allis, al, is
aniss, an, ss
anoas, an, as
antss, an, ss
arcus, ar, us
argal, ar, al
aruis, ar, is
aspss, as, ss
bears, be, rs
beess, be, ss
bilby, bi, by
biped, bi, ed
bison, bi, on
breed, br, ed
brill, br, ll
brood, br, od
bruin, br, in
bubos, bu, os
bufos, bu, os
bugss, bu, ss
bulls, bu, ls
camel, ca, el
canid, ca, id
catss, ca, ss
cauls, ca, ls
chaja, ch, ja
chick, ch, ck
chimp, ch, mp
clegs, cl, gs
cmvss, cm, ss
coati, co, ti
colts, co, ts
conch, co, ch
coots, co, ts
corgi, co, gi
cowss, co, ss
crush, cr, sh
curss, cu, ss
cutes, cu, es
cutis, cu, is
deers, de, rs
dingo, di, go
dogss, do, ss
doves, do, es
drone, dr, ne
elkss, el, ss
emmet, em, et
equid, eq, id
ernes, er, es
ernss, er, ss
fleas, fl, as
flesh, fl, sh
flyss, fl, ss
foals, fo, ls
fowls, fo, ls
foxes, fo, es
foxss, fo, ss
frogs, fr, gs
glias, gl, as
goats, go, ts
goral, go, al
graft, gr, ft
grebe, gr, be
hares, ha, es
hawks, ha, ks
henss, he, ss
hides, hi, es
ibiss, ib, ss
incus, in, us
jawss, ja, ss
jowls, jo, ls
kines, ki, es
krait, kr, it
krill, kr, ll
lacss, la, ss
lapin, la, in
larid, la, id
larks, la, ks
lidss, li, ss
liger, li, er
lizas, li, as
llama, ll, ma
loach, lo, ch
loirs, lo, rs
lowan, lo, an
macaw, ma, aw
makos, ma, os
malar, ma, ar
males, ma, es
mamos, ma, os
mares, ma, es
mavis, ma, is
merls, me, ls
minae, mi, ae
minah, mi, ah
minas, mi, as
minks, mi, ks
mirid, mi, id
moass, mo, ss
mocha, mo, ha
mokes, mo, es
molar, mo, ar
molas, mo, as
monal, mo, al
monss, mo, ss
mules, mu, es
murre, mu, re
mutts, mu, ts
mynah, my, ah
mynas, my, as
newts, ne, ts
orcas, or, as
ormer, or, er
owlet, ow, et
owlss, ow, ss
oxess, ox, ss
oxses, ox, es
oxsss, ox, ss
pacas, pa, as
pacer, pa, er
parvo, pa, vo
patas, pa, as
pawss, pa, ss
pebas, pe, as
pekan, pe, an
pekes, pe, es
pelts, pe, ts
petss, pe, ss
pewit, pe, it
pigss, pi, ss
pikas, pi, as
pinto, pi, to
pipit, pi, it
pipss, pi, ss
pitta, pi, ta
praya, pr, ya
queen, qu, en
scaup, sc, up
shoat, sh, at
sikas, si, as
solan, so, an
sowss, so, ss
stags, st, gs
steed, st, ed
stoat, st, at
tabby, ta, by
takin, ta, in
tamer, ta, er
tatus, ta, us
tigon, ti, on
tsine, ts, ne
viper, vi, er
voles, vo, es
vomer, vo, er
wekas, we, as
worms, wo, ms
